# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gs1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
1762 1.380 53.151291 -27.779003 0.0161 9.1639 0.4971 5.7782
1768 1.541 53.157871 -27.779190 0.9234 5.5571 0.7481 2.6787
1769 1.278 53.156257 -27.779266 0.5575 3.0429 0.5650 2.3257
1773 1.424 53.145771 -27.779310 -66.6082 0.0000 10.8150 2368.3807
1777 1.296 53.167091 -27.779348 2.0141 16.1957 1.0528 3.5100
1788 1.206 53.156513 -27.779651 1.3816 1.6386 2.7507 3.2630
1803 1.380 53.145374 -27.779735 0.7706 30.8970 0.9054 5.6904
1805 1.502 53.127048 -27.779695 -26.3685 1108.7462 -0.0672 4.1973
1807 1.628 53.143936 -27.779720 2.1959 32.5271 1.0415 10.8883
1827 1.324 53.168609 -27.779915 0.8987 1.2775 0.9902 0.8375
1828 1.257 53.183845 -27.779898 0.9851 5.1852 1.0464 5.0665
1831 1.379 53.187015 -27.779917 0.1881 6.7964 0.5830 4.8312
1851 1.203 53.155140 -27.780149 2.6606 5.5840 1.9100 4.6072
1859 1.349 53.167171 -27.780199 1.0342 3.1923 1.0830 3.2383
1877 1.310 53.143089 -27.780481 inf nan inf nan
1880 1.617 53.173477 -27.780460 1.4012 8.3454 1.4126 4.9937
1884 1.562 53.166218 -27.780536 1.0418 0.5171 1.1715 0.3597
1891 1.373 53.116077 -27.780643 2.0875 15.1021 0.9174 4.3185
1900 1.448 53.148811 -27.780731 0.9021 2.7702 1.1931 2.3399
1902 1.262 53.162456 -27.780840 0.8093 5.3814 0.7608 4.3588
1906 1.486 53.153503 -27.780901 -0.0446 28.4540 -0.3976 11.6990
1907 1.327 53.153412 -27.781036 0.2893 8.0263 -2.9785 60.3793
1911 1.292 53.145851 -27.780851 -0.9815 12.5787 -0.2414 14.2554
1915 1.761 53.150898 -27.780903 -0.1862 0.0000 -0.1862 0.0000
1919 1.435 53.136288 -27.780979 0.3105 13.0827 0.7711 25.8326
1924 1.501 53.181316 -27.781000 1.1582 3.1580 0.7771 1.6067
1939 1.305 53.192890 -27.781187 -0.0417 2.8440 -0.0421 1.3182
1941 1.538 53.171692 -27.781210 1.6768 1.9441 1.1725 1.1949
1959 1.449 53.174866 -27.781271 -2.0364 27.4306 -2.5965 18.0386
2003 1.242 53.153877 -27.781652 7.1972 363.8446 -5.3645 129.9456
2012 1.421 53.146889 -27.781772 -inf nan -inf nan
2024 1.246 53.167465 -27.781830 0.5862 12.0520 3.2680 62.1895
2032 1.255 53.190335 -27.781987 1.3112 0.0000 1.1834 0.0000
2038 1.782 53.173675 -27.782060 1.0247 0.6208 0.4114 0.2404
2054 1.444 53.170063 -27.782062 1.1011 10.4875 3.5442 33.8147
2056 1.209 53.150814 -27.782123 0.7566 4.3826 0.7143 4.2557
2065 1.472 53.162777 -27.782224 0.9152 0.0000 0.9543 0.0000
2066 1.389 53.162350 -27.782306 1.3720 9.6508 1.1953 4.4893
2067 1.501 53.162449 -27.782409 5.9565 388.8414 2.5482 29.5104
2084 1.395 53.186035 -27.782217 1.1164 0.4400 1.3391 0.4111
2086 1.465 53.135174 -27.782335 0.7626 2.2370 0.7380 1.8321
2091 1.316 53.174679 -27.782852 2.7558 18.6397 0.5326 3.9237
2098 1.315 53.167476 -27.782350 -1.3848 12.6236 -0.1714 1.8854
2104 1.321 53.176983 -27.782350 0.4290 5.3521 -0.0941 2.9410
2117 1.278 53.191547 -27.782673 -0.0112 0.0000 0.0174 0.0000
2142 1.453 53.167263 -27.782755 1.4227 6.7649 0.9136 3.5993
2145 1.483 53.144066 -27.782774 0.8551 0.5434 0.8646 0.3795
2165 1.415 53.157490 -27.782966 1.4941 2.5658 1.1617 1.2897
2168 1.266 53.164539 -27.783106 0.8419 2.6546 0.8782 1.8139
2188 1.247 53.175274 -27.783296 0.8205 3.0578 1.6633 6.0904
2195 1.263 53.139686 -27.783417 -0.9975 28.1977 -6.7225 281.9370
2203 1.355 53.174610 -27.783539 1.0018 0.7006 1.0331 0.5322
2212 1.383 53.128826 -27.783647 2.7362 12.8191 2.1326 9.2772
2220 1.220 53.169948 -27.783685 1.2048 7.2873 2.2323 12.2839
2221 1.308 53.150879 -27.783735 1.2821 1.5945 1.0850 0.9563
2225 1.416 53.172081 -27.783813 0.8920 4.7712 1.6124 5.1789
2238 1.345 53.135444 -27.783905 1.5186 8.8170 1.5001 4.8031
2252 1.488 53.177154 -27.784084 1.1164 5.6273 1.4080 3.8979
2302 1.444 53.127018 -27.784460 1.3670 4.1963 1.1047 2.9250
2310 1.462 53.158794 -27.784574 0.0148 0.0000 -7.2072 0.0000
2312 1.589 53.192184 -27.784548 0.5223 4.3740 1.0718 3.5802
2340 1.337 53.135727 -27.784927 1.2900 4.6287 1.2996 4.1187
2348 1.544 53.166561 -27.784857 0.8777 0.9828 0.8582 0.7106
2354 1.534 53.149048 -27.785051 1.5180 1.1636 0.4635 0.4814
2357 1.700 53.166244 -27.784902 1.1824 3.9224 1.1813 2.9478
2368 1.571 53.179127 -27.785047 1.2572 3.2786 0.8438 1.4890
2378 1.356 53.176575 -27.785444 1.4133 0.1502 1.2009 0.0611
2384 1.642 53.172264 -27.785187 1.2033 2.3110 1.0837 1.3347
2402 1.573 53.202308 -27.785427 1.7900 36.7823 0.7581 8.7755
2404 1.734 53.118854 -27.785391 1.9875 9.2044 1.7352 5.9321
2407 1.597 53.203834 -27.785364 1.1622 0.8406 1.1919 0.5274
2412 1.317 53.165161 -27.785868 -2.5037 74.4448 -10.4330 525.6906
2421 1.227 53.192112 -27.785555 1.7509 10.2154 2.6998 10.3050
2422 1.488 53.115269 -27.785589 nan nan nan nan
2430 1.472 53.136917 -27.785728 0.3004 2.3386 0.9828 3.9405
2431 1.700 53.171116 -27.785669 1.0718 4.5805 0.7542 2.8084
2432 1.517 53.128940 -27.785696 1.1097 9.3502 0.7720 4.5394
2435 1.515 53.153641 -27.785713 nan nan nan nan
2446 1.640 53.159866 -27.785778 0.5908 8.7715 0.3708 4.0841
2454 1.254 53.171741 -27.785810 0.6470 4.4486 0.4418 2.2959
2457 1.301 53.136673 -27.785925 1.7385 0.0000 1.1576 0.0000
2475 1.365 53.139156 -27.786156 1.2459 10.5064 0.9500 10.1961
2514 1.307 53.167438 -27.786495 -0.0256 1.5383 0.2009 1.7497
2523 1.533 53.180816 -27.787329 nan nan inf nan
2525 1.221 53.139400 -27.786770 0.7430 3.8339 0.9834 4.7518
2526 1.301 53.167301 -27.786630 0.3920 6.5449 0.2474 3.4274
2530 1.201 53.140690 -27.786678 0.0669 5.4955 1.5157 11.6089
2546 1.322 53.179355 -27.787090 1.0528 5.8830 1.2006 4.8955
2551 1.444 53.179542 -27.786920 nan nan nan nan
2552 1.334 53.130817 -27.787140 0.7143 2.9380 1.3803 7.0341
2561 1.451 53.173725 -27.787107 1.0206 4.7399 0.8939 2.7286
2568 1.789 53.161663 -27.787432 0.8937 3.6895 0.4025 2.0635
2573 1.501 53.195221 -27.787159 0.9681 8.1932 2.9257 17.7245
2588 1.796 53.206585 -27.787445 3.1470 11.7073 0.3926 1.3455
2603 1.672 53.154022 -27.787689 -0.0323 0.0000 -0.0223 0.0000
2604 1.604 53.174305 -27.787683 1.0105 5.3053 1.0652 2.8294
2612 1.452 53.183136 -27.787771 1.6078 8.6664 1.9193 9.7230
2613 1.322 53.113121 -27.787788 0.6673 2.1502 0.7968 1.5458
2620 1.232 53.149174 -27.787855 0.8535 2.7733 0.8775 2.0695
2627 1.609 53.163090 -27.787855 1.8168 7.9786 1.4800 5.1906
2639 1.201 53.154564 -27.788130 nan nan nan nan
2644 1.408 53.126037 -27.788191 0.6084 4.0253 0.9289 4.2602
2657 1.446 53.168857 -27.788320 1.7817 12.9393 2.7263 26.1280
2660 1.582 53.173866 -27.788488 1.1829 4.4956 0.9757 2.5446
2664 1.686 53.143833 -27.788482 25.3288 2014.6971 1.4121 13.3622
2672 1.609 53.124199 -27.788740 0.4283 2.8533 0.7034 2.7787
2680 1.203 53.191528 -27.788664 1.5946 5.1283 2.6280 7.8042
2695 1.573 53.126694 -27.788915 1.0642 7.5154 4.1284 42.1171
2698 1.367 53.132397 -27.788938 -1.6213 88.7222 -0.5766 8.0808
2701 1.262 53.144314 -27.789129 1.0161 6.3532 1.7114 9.1512
2729 1.598 53.124702 -27.789396 1.5508 2.6869 2.0340 2.3534
2731 1.529 53.154663 -27.789415 0.8230 0.5617 0.9800 0.4953
2748 1.386 53.190124 -27.789608 -2.1301 45.4830 nan nan
2777 1.445 53.200855 -27.790035 2.0175 33.7643 0.7229 7.1765
2794 1.623 53.160415 -27.790365 1.0281 0.2351 1.0021 0.1557
2804 1.630 53.117973 -27.790354 -0.7865 2.7101 -1.2830 6.5369
2809 1.240 53.167873 -27.790462 0.1655 4.4235 -0.8213 11.5039
2810 1.695 53.171017 -27.790472 -0.0019 0.0000 -0.0004 0.0037
2816 1.666 53.136894 -27.790664 -1.0920 6.2552 -1.9451 9.0748
2835 1.352 53.165748 -27.790796 0.9344 3.7488 1.0936 2.8850
2850 1.337 53.172516 -27.791084 3.9204 61.1497 0.7561 3.9043
2858 1.722 53.145370 -27.791178 1.2364 5.4547 0.8045 3.2565
2874 1.220 53.184128 -27.791527 0.8264 16.1669 -0.9008 15.3678
2880 1.599 53.194885 -27.791536 1.4427 1.6254 1.3961 1.0624
2893 1.271 53.147606 -27.791788 nan nan nan nan
2901 1.550 53.152118 -27.791952 8.8095 0.0000 24.9858 0.0000
2903 1.711 53.180130 -27.792049 -1.7841 37.5205 -0.4856 114.7393
2908 1.351 53.177345 -27.792059 -1.3211 14.1953 -6.1583 321.2004
2915 1.248 53.163132 -27.792173 3.6143 22.4150 0.5078 3.3715
2934 1.480 53.151256 -27.792404 1.5086 10.2176 1.3848 4.9554
2955 1.296 53.164120 -27.792650 0.0042 0.0000 -0.0909 0.0000
2974 1.631 53.158623 -27.792850 nan nan inf nan
2982 1.257 53.130058 -27.793001 0.5441 2.2210 0.4155 0.8336
2989 1.555 53.192531 -27.793011 2.6604 5.7954 3.8787 5.8100
3026 1.229 53.147411 -27.793758 0.0163 0.2865 0.0201 0.2906
3038 1.581 53.127132 -27.793861 -0.3871 8.0360 9.5220 784.8867
3048 1.405 53.151756 -27.793890 1.5222 8.4303 1.7669 11.2234
3053 1.712 53.154514 -27.794039 0.1636 3.9752 -0.5365 4.3413
3065 1.619 53.143966 -27.794168 -7.4604 370.5706 -5.7787 679.9246
3070 1.484 53.155601 -27.794281 1.0198 9.5559 0.2978 1.7516
3073 1.303 53.141060 -27.794243 nan nan -inf nan
3080 1.568 53.174530 -27.794267 -2.2658 9.8225 -31.0739 147.2736
3124 1.755 53.127060 -27.795038 0.9818 2.6807 0.6354 2.1326
3135 1.642 53.125885 -27.795097 0.9748 2.7503 0.2011 0.3817
3139 1.481 53.161327 -27.795793 -1.1721 0.0000 -0.5140 0.0000
3151 1.592 53.180706 -27.795410 -0.6360 0.0000 -0.9196 8.0458
3161 1.312 53.125065 -27.795410 -0.0112 0.0000 -0.0011 0.0000
3185 1.741 53.152683 -27.795639 -31.4683 0.0000 -2.4249 0.0000
3186 1.508 53.146915 -27.795574 inf nan inf nan
3220 1.781 53.151611 -27.796423 nan nan nan nan
