#PearsID, Field, RA, DEC, zspec, zp_minchi2, zspz_minchi2, zg_minchi2, zp, zspz, zg, zp_zerr_low, zp_zerr_up, zspz_zerr_low, zspz_zerr_up, zg_zerr_low, zg_zerr_up, zp_min_chi2, zspz_min_chi2, zg_min_chi2, zp_bestalpha, zspz_bestalpha, zg_bestalpha, zp_model_idx, zspz_model_idx, zg_model_idx, zp_age, zp_tau, zp_av, zspz_age, zspz_tau, zspz_av, zg_age, zg_tau, zg_av, zp_template_ms, zp_ms, zp_sfr, zp_uv, zp_vj, zspz_template_ms, zspz_ms, zspz_sfr, zspz_uv, zspz_vj, zg_template_ms, zg_ms, zg_sfr, zg_uv, zg_vj
33086, 'GOODS-S', 53.1846352, -27.880923, 3.471, 3.54, -99., -99., 3.53, -99., -99., 3.46, 3.6, -99., -99., -99., -99., 64.62, -99., -99., 1.46e+11, -99., -99., 4867, -99, -99, 9.23, 2.51, 0.18, -99., -99., -99., -99., -99., -99., 0.2917, 4.26e+10, 0., 0.038, 1.302, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
128312, 'GOODS-S', 53.082535, -27.68965, 0.229, 4.5, -99., -99., nan, -99., -99., 4.5, 4.5, -99., -99., -99., -99., 80527.29, -99., -99., 9.17e+14, -99., -99., 15129, -99, -99, 7.02, 15.8, 0.92, -99., -99., -99., -99., -99., -99., 0.0006, 5.637e+11, 0., -0.6154, 0.9373, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
122398, 'GOODS-S', 53.1085211, -27.710151, 1.613, 1.54, -99., -99., 1.53, -99., -99., 1.51, 1.57, -99., -99., -99., -99., 15.09, -99., -99., 2.39e+11, -99., -99., 577, -99, -99, 9.57, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.48, 1.149e+11, 0., 1.2729, 2.0492, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
68525, 'GOODS-S', 53.171182, -27.814712, 0.683, 0.47, -99., -99., 0.45, -99., -99., 0.43, 0.47, -99., -99., -99., -99., 1371.02, -99., -99., 1.38e+11, -99., -99., 37005, -99, -99, 9.94, 3.98, 2.58, -99., -99., -99., -99., -99., -99., 0.4148, 5.744e+10, 0., 1.0286, 2.2468, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
54776, 'GOODS-N', 189.1902574, 62.211658, -99., 1.86, -99., -99., 1.73, -99., -99., 1.69, 1.9, -99., -99., -99., -99., 2.84, -99., -99., 1.86e+11, -99., -99., 11766, -99, -99, 9.44, 0.398, 0.74, -99., -99., -99., -99., -99., -99., 0.5197, 9.641e+10, 0., 1.1112, 2.001, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
96423, 'GOODS-N', 189.3643627, 62.28723, -99., 0.85, -99., -99., 0.88, -99., -99., 0.85, 0.9, -99., -99., -99., -99., 202.52, -99., -99., 1.33e+11, -99., -99., 833, -99, -99, 9.8, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.3669, 4.887e+10, 0., 1.0991, 2.5307, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
18997, 'GOODS-S', 53.2112333, -27.908295, -99., 1.57, -99., -99., 1.57, -99., -99., 1.51, 1.64, -99., -99., -99., -99., 5.62, -99., -99., 4.77e+11, -99., -99., 24193, -99, -99, 9.57, 0.631, 1.66, -99., -99., -99., -99., -99., -99., 0.5006, 2.39e+11, 0., 1.2945, 2.2254, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
76094, 'GOODS-S', 53.1554484, -27.791484, 0.71, 0.66, -99., -99., 0.65, -99., -99., 0.63, 0.68, -99., -99., -99., -99., 221.73, -99., -99., 7.08e+11, -99., -99., 21255, -99, -99, 9.86, 0.1, 1.47, -99., -99., -99., -99., -99., -99., 0.44, 3.115e+11, 0., 1.6172, 2.3695, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
47085, 'GOODS-N', 189.1123079, 62.199067, -99., 1.35, -99., -99., 1.35, -99., -99., 1.33, 1.37, -99., -99., -99., -99., 12., -99., -99., 2.09e+11, -99., -99., 29854, -99, -99, 9.65, 10., 2.03, -99., -99., -99., -99., -99., -99., 0.1927, 4.031e+10, 0., 0.5582, 1.8453, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
124728, 'GOODS-S', 53.0382569, -27.701686, -99., 0.72, -99., -99., 0.72, -99., -99., 0.71, 0.72, -99., -99., -99., -99., 52.11, -99., -99., 2.37e+11, -99., -99., 24321, -99, -99, 9.7, 1., 1.66, -99., -99., -99., -99., -99., -99., 0.482, 1.141e+11, 0., 1.2672, 2.2319, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
