# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field urcol mstar threedid threedzphot
83432 GOODS-N 1.34 9.39 24685 0.93
84502 GOODS-N 0.53 8.03 24689 0.95
84033 GOODS-N 2.23 9.67 24749 0.73
83628 GOODS-N 1.73 9.62 24784 0.87
83503 GOODS-N 1.95 10.59 24795 0.86
84467 GOODS-N 0.62 8.14 24865 0.61
84143 GOODS-N 0.91 8.95 24886 0.91
84543 GOODS-N 1.98 9.37 24960 0.91
84626 GOODS-N 0.80 9.24 25059 0.92
84617 GOODS-N 1.99 9.36 25092 0.89
85002 GOODS-N 2.17 9.71 25105 0.87
85023 GOODS-N 1.44 9.06 25146 0.82
84649 GOODS-N 2.22 10.39 25153 0.84
85556 GOODS-N 0.62 8.41 25171 0.93
85073 GOODS-N 2.59 10.58 25197 0.97
85385 GOODS-N 1.09 8.79 25232 0.88
85372 GOODS-N 1.44 9.06 25238 1.14
85356 GOODS-N 1.99 10.30 25290 0.84
85879 GOODS-N 0.73 8.96 25392 1.16
86297 GOODS-N 0.99 7.92 25483 0.57
85489 GOODS-N 2.14 9.82 25561 0.85
86234 GOODS-N 1.04 8.81 25684 0.93
86941 GOODS-N 0.70 8.13 25830 0.84
87619 GOODS-N 0.86 7.92 25955 0.59
87608 GOODS-N 1.08 8.35 25961 0.83
88056 GOODS-N 1.01 8.16 26104 0.84
87433 GOODS-N 1.26 9.77 26139 0.77
87823 GOODS-N 1.32 9.43 26165 0.98
87634 GOODS-N 1.19 8.59 26166 0.74
88045 GOODS-N 1.01 8.39 26201 0.75
87585 GOODS-N 2.33 11.16 26239 0.84
88175 GOODS-N 0.98 9.15 26326 1.05
88207 GOODS-N 1.56 8.28 26339 0.61
88344 GOODS-N 1.39 8.52 26367 0.58
88566 GOODS-N 2.02 10.00 26402 0.79
87368 GOODS-N 2.26 10.65 26430 0.82
88772 GOODS-N 1.60 8.79 26530 0.56
88679 GOODS-N 2.40 10.93 26544 0.84
88858 GOODS-N 1.46 9.60 26567 0.82
88880 GOODS-N 1.21 8.51 26569 0.59
89030 GOODS-N 2.07 9.82 26570 0.82
89189 GOODS-N 1.19 8.07 26610 0.62
89239 GOODS-N 2.02 9.69 26631 0.87
89514 GOODS-N 2.15 10.42 26771 0.83
90095 GOODS-N 2.06 9.42 26927 0.84
90064 GOODS-N 1.96 9.71 26933 0.79
90082 GOODS-N 1.21 9.45 26976 0.71
89993 GOODS-N 1.05 9.74 27000 0.92
90145 GOODS-N 0.77 9.19 27008 0.85
90248 GOODS-N 1.29 8.55 27041 0.89
90517 GOODS-N 0.97 8.49 27083 0.88
90359 GOODS-N 1.20 8.07 27090 0.65
90526 GOODS-N 0.97 9.22 27125 0.89
90879 GOODS-N 0.85 9.17 27186 1.00
90907 GOODS-N 1.04 7.97 27236 0.62
91162 GOODS-N 1.09 8.88 27307 0.88
91148 GOODS-N 1.67 9.66 27317 0.84
91367 GOODS-N 1.23 8.99 27365 0.94
91611 GOODS-N 0.72 8.08 27447 0.82
91469 GOODS-N 0.63 7.69 27450 0.67
91695 GOODS-N 0.84 8.72 27474 0.96
91795 GOODS-N 2.05 9.18 27506 0.81
91947 GOODS-N 1.04 9.00 27548 0.84
92233 GOODS-N 1.31 9.32 27709 0.88
92535 GOODS-N 1.53 9.81 27744 0.83
93012 GOODS-N 1.00 9.24 27945 0.92
92509 GOODS-N 1.10 9.12 27956 1.04
92859 GOODS-N 1.49 9.71 27998 0.89
93154 GOODS-N 1.00 8.19 28027 0.69
93137 GOODS-N 1.29 9.10 28053 0.80
93208 GOODS-N 0.86 8.81 28054 0.90
93405 GOODS-N 1.09 8.74 28070 0.73
93394 GOODS-N 1.36 8.86 28105 0.89
93602 GOODS-N 1.89 10.57 28149 0.94
93719 GOODS-N 1.06 8.53 28163 0.81
93968 GOODS-N 0.70 8.22 28297 0.79
94073 GOODS-N 0.85 8.83 28365 0.87
94234 GOODS-N 0.63 7.75 28425 0.72
94262 GOODS-N 1.14 9.44 28457 0.87
94364 GOODS-N 0.99 8.06 28494 0.77
84077 GOODS-N 0.75 9.11 24844 0.94
84577 GOODS-N 1.96 9.34 24856 0.90
84551 GOODS-N 2.17 9.53 24863 0.81
83999 GOODS-N 1.70 9.83 24928 0.89
85141 GOODS-N 2.11 8.73 24965 0.61
85100 GOODS-N 1.32 9.01 25024 1.02
85410 GOODS-N 0.85 7.90 25086 0.75
84974 GOODS-N 1.02 9.37 25152 0.89
84715 GOODS-N 1.02 8.95 25202 0.78
85399 GOODS-N 0.77 8.46 25384 0.87
86697 GOODS-N 1.09 8.39 25664 0.67
87195 GOODS-N 0.61 7.27 25768 0.58
88265 GOODS-N 1.28 8.66 26289 0.86
88171 GOODS-N 0.93 8.47 26359 0.74
88448 GOODS-N 0.94 8.17 26386 0.64
88897 GOODS-N 1.01 7.76 26452 0.57
88591 GOODS-N 0.94 9.04 26566 0.86
89509 GOODS-N 1.24 8.41 26750 0.56
89683 GOODS-N 1.00 8.24 26756 0.65
89383 GOODS-N 0.81 9.04 26789 1.05
88768 GOODS-N 1.52 9.38 26843 0.95
89877 GOODS-N 0.72 8.83 26922 1.06
89845 GOODS-N 1.42 10.03 26948 0.92
90194 GOODS-N 0.53 8.41 27060 0.71
90143 GOODS-N 1.12 9.11 27132 1.01
90557 GOODS-N 1.05 9.53 27158 0.84
91474 GOODS-N 0.75 9.55 27422 1.18
91587 GOODS-N 0.90 8.00 27427 0.72
91377 GOODS-N 2.17 10.45 27444 1.07
91612 GOODS-N 1.01 9.89 27472 1.19
91697 GOODS-N 0.79 8.70 27588 1.29
91951 GOODS-N 0.61 8.30 27597 0.99
91724 GOODS-N 0.70 8.67 27754 1.00
92450 GOODS-N 0.41 8.84 27812 1.06
92989 GOODS-N 0.81 7.78 27947 0.63
93092 GOODS-N 0.96 7.85 27974 0.57
92603 GOODS-N 0.74 8.36 27989 0.61
92316 GOODS-N 0.91 9.10 28014 0.95
93025 GOODS-N 0.87 8.60 28034 1.00
93328 GOODS-N 1.05 9.44 28040 1.12
93646 GOODS-N 0.90 8.38 28363 0.92
94085 GOODS-N 1.26 10.13 28379 1.03
94117 GOODS-N 1.04 9.09 28381 1.12
93798 GOODS-N 0.93 8.48 28406 0.56
94535 GOODS-N 0.66 8.05 28541 0.56
94458 GOODS-N 0.38 8.19 28586 0.86
94782 GOODS-N 1.20 8.82 28635 0.94
94963 GOODS-N 0.77 7.82 28738 0.56
95898 GOODS-N 1.11 9.04 28996 0.77
96352 GOODS-N 1.03 8.01 29195 0.68
95449 GOODS-N 0.84 9.35 29232 0.94
97904 GOODS-N 1.08 9.64 29807 0.65
98420 GOODS-N 1.15 9.57 30057 1.13
98209 GOODS-N 1.65 10.59 30204 0.73
99633 GOODS-N 2.16 10.41 30358 0.98
100202 GOODS-N 0.85 8.13 30500 0.62
100950 GOODS-N 0.76 8.92 30644 0.93
100857 GOODS-N 0.81 8.42 30665 0.92
100776 GOODS-N 0.74 8.11 30680 0.83
100486 GOODS-N 1.04 8.75 30694 0.88
100715 GOODS-N 1.04 9.70 30941 0.92
102160 GOODS-N 0.67 8.52 31129 0.88
102600 GOODS-N 1.90 10.63 31179 1.18
102719 GOODS-N 1.22 8.62 31190 0.63
102575 GOODS-N 0.74 8.59 31251 0.95
103192 GOODS-N 0.95 8.88 31388 0.91
104050 GOODS-N 0.84 7.76 31608 0.59
103094 GOODS-N 1.14 9.87 31617 0.91
104213 GOODS-N 0.88 8.35 31634 0.91
105168 GOODS-N 1.15 9.61 31957 1.24
105674 GOODS-N 0.80 7.76 32026 0.66
105729 GOODS-N 1.63 9.96 32066 1.18
105709 GOODS-N 0.73 9.42 32087 1.05
105902 GOODS-N 0.38 8.51 32166 0.74
106694 GOODS-N 0.82 7.68 32293 0.64
106752 GOODS-N 1.08 8.25 32311 0.66
108010 GOODS-N 0.67 8.18 32622 0.75
107999 GOODS-N 0.58 8.32 32645 0.91
108239 GOODS-N 0.85 8.31 32680 0.69
107654 GOODS-N 0.75 8.86 32695 1.14
107452 GOODS-N 1.01 8.48 32791 0.63
108721 GOODS-N 1.18 8.84 32810 0.82
108932 GOODS-N 1.04 8.36 32834 0.87
109170 GOODS-N 2.30 9.84 32934 0.57
109561 GOODS-N 1.02 8.21 32959 0.65
109801 GOODS-N 1.06 9.25 33081 0.82
110223 GOODS-N 0.96 8.54 33124 0.72
110440 GOODS-N 0.53 7.39 33194 0.59
110708 GOODS-N 1.01 8.96 33225 0.98
110464 GOODS-N 0.82 7.98 33276 0.59
110688 GOODS-N 1.32 9.40 33292 0.88
111351 GOODS-N 1.24 8.64 33357 0.80
111054 GOODS-N 0.43 8.33 33372 1.23
112235 GOODS-N 0.80 9.07 33554 1.19
112301 GOODS-N 0.75 8.71 33605 1.05
112486 GOODS-N 0.82 9.10 33636 0.81
112764 GOODS-N 0.71 10.48 33691 1.27
112992 GOODS-N 0.89 9.08 33706 1.25
113162 GOODS-N 1.07 8.00 33758 0.59
114275 GOODS-N 1.03 9.46 33991 0.95
113696 GOODS-N 1.86 9.53 34003 0.73
115830 GOODS-N 1.00 8.57 34265 0.87
115636 GOODS-N 0.96 9.06 34343 0.95
116400 GOODS-N 0.67 8.53 34357 1.28
98997 GOODS-N 1.19 9.85 30350 0.99
100137 GOODS-N 1.34 8.36 30531 0.62
100435 GOODS-N 0.63 7.92 30566 0.98
100728 GOODS-N 1.29 9.04 30663 0.81
101185 GOODS-N 1.04 9.11 30852 0.76
102530 GOODS-N 1.27 9.45 31162 0.95
102547 GOODS-N 0.94 8.05 31268 0.69
102134 GOODS-N 1.11 9.34 31271 1.15
104023 GOODS-N 0.88 8.26 31626 0.74
104306 GOODS-N 1.30 9.47 31692 1.16
103443 GOODS-N 0.99 9.05 31800 0.83
104879 GOODS-N 1.12 8.62 31855 1.11
105223 GOODS-N 0.46 8.22 31943 1.27
105303 GOODS-N 0.98 8.71 31958 1.09
105461 GOODS-N 0.80 8.06 32009 0.64
107118 GOODS-N 0.98 8.33 32444 0.58
107152 GOODS-N 0.93 9.54 32445 0.99
107445 GOODS-N 1.25 8.32 32575 0.57
108321 GOODS-N 0.89 9.29 32752 0.88
108279 GOODS-N 1.20 9.24 32753 0.85
108529 GOODS-N 0.83 9.15 32769 1.23
108799 GOODS-N 1.04 8.61 32797 1.01
108448 GOODS-N 0.69 9.39 32824 1.15
108774 GOODS-N 1.07 8.63 32825 0.83
109259 GOODS-N 0.98 8.84 32879 1.30
108871 GOODS-N 0.81 8.55 32887 1.06
109867 GOODS-N 1.31 8.17 33030 0.60
110145 GOODS-N 0.67 8.75 33143 1.02
110403 GOODS-N 0.95 8.85 33165 0.95
110595 GOODS-N 0.87 8.74 33196 0.92
110441 GOODS-N 1.14 8.80 33267 0.57
110727 GOODS-N 0.68 9.49 33290 1.05
111096 GOODS-N 0.84 9.01 33343 1.02
111648 GOODS-N 0.82 9.62 33401 1.21
112100 GOODS-N 0.82 8.39 33546 0.67
112264 GOODS-N 1.17 8.08 33572 0.73
112383 GOODS-N 1.01 8.67 33598 0.62
113191 GOODS-N 1.01 9.57 33803 1.26
113600 GOODS-N 1.28 9.32 33834 1.18
113595 GOODS-N 0.77 7.73 33835 0.61
113506 GOODS-N 1.03 8.65 33862 0.84
