#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj  figs_id  figs_field  figs_ra  figs_dec  ur_col
96650  GOODS-N  189.194623  62.287764  -99.  0.75  -99.  -99.  0.76  -99.  -99.  0.72  0.78  -99.  -99.  -99.  -99.  1.46  -99.  -99.  3.43e+09  -99.  -99.  2166  -99  -99  9.32  1.  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.4971  1.704e+09  0.  0.2684  1.4673  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1908  GN1  189.1946010  62.287759  1.132
116527  GOODS-N  189.3607848  62.319904  -99.  0.76  -99.  -99.  0.82  -99.  -99.  0.7  0.9  -99.  -99.  -99.  -99.  0.28  -99.  -99.  2.81e+09  -99.  -99.  2414  -99  -99  9.36  2.51  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.3437  9.653e+08  0.  0.0755  1.3634  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  588  GN2  189.3607750  62.319912  0.897
97566  GOODS-N  189.3644019  62.288418  -99.  0.94  -99.  -99.  0.98  -99.  -99.  0.84  1.02  -99.  -99.  -99.  -99.  0.45  -99.  -99.  2.13e+10  -99.  -99.  3269  -99  -99  9.23  63.1  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.016  3.41e+08  0.  -0.1065  1.2088  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1287  GN2  189.3643740  62.288419  0.667
113311  GOODS-N  189.3386081  62.315034  -99.  2.84  -99.  -99.  2.65  -99.  -99.  2.54  3.66  -99.  -99.  -99.  -99.  0.22  -99.  -99.  1.72e+09  -99.  -99.  35313  -99  -99  7.26  0.01  2.58  -99.  -99.  -99.  -99.  -99.  -99.  0.7254  1.246e+09  0.  -0.2133  1.8433  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  3609  GN2  189.3386270  62.315038  0.680
92378  GOODS-N  189.1805813  62.28128  -99.  1.01  -99.  -99.  0.98  -99.  -99.  0.97  1.05  -99.  -99.  -99.  -99.  119.67  -99.  -99.  2.54e+11  -99.  -99.  36746  -99  -99  9.74  1.58  2.58  -99.  -99.  -99.  -99.  -99.  -99.  0.472  1.199e+11  0.  1.1731  2.2885  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2183  GN1  189.1805610  62.281267  2.299
118250  GOODS-N  189.3450625  62.323658  -99.  0.93  -99.  -99.  0.88  -99.  -99.  0.8  0.98  -99.  -99.  -99.  -99.  1.13  -99.  -99.  2.29e+09  -99.  -99.  1910  -99  -99  9.01  0.398  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.5658  1.294e+09  0.  0.1805  1.2421  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  511  GN2  189.3450530  62.323657  0.990
107827  GOODS-N  189.3813923  62.305805  -99.  0.5  -99.  -99.  0.25  -99.  -99.  0.3  0.58  -99.  -99.  -99.  -99.  0.85  -99.  -99.  1.59e+09  -99.  -99.  468  -99  -99  9.86  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.4041  6.411e+08  0.  0.6267  1.3565  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  876  GN2  189.3813980  62.305798  1.617
81445  GOODS-S  53.1479848  -27.787687  1.92  1.86  -99.  -99.  1.67  -99.  -99.  1.58  1.97  -99.  -99.  -99.  -99.  3.71  -99.  -99.  9.96e+09  -99.  -99.  9410  -99  -99  8.86  0.631  0.55  -99.  -99.  -99.  -99.  -99.  -99.  0.4394  4.377e+09  0.  0.0117  1.207  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2242  GS1  53.1479870  -27.787685  0.803
109820  GOODS-N  189.4167532  62.309564  -99.  2.1  -99.  -99.  2.01  -99.  -99.  1.98  2.17  -99.  -99.  -99.  -99.  1.46  -99.  -99.  5.24e+11  -99.  -99.  18038  -99  -99  9.41  63.1  1.1  -99.  -99.  -99.  -99.  -99.  -99.  0.0231  1.213e+10  0.  0.2588  1.5294  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  790  GN2  189.4167760  62.309556  1.148
90560  GOODS-S  53.158028  -27.769195  -99.  0.05  -99.  -99.  nan  -99.  -99.  0.05  0.05  -99.  -99.  -99.  -99.  7062.66  -99.  -99.  2.65e+08  -99.  -99.  442  -99  -99  9.28  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.4941  1.31e+08  0.  0.5107  1.2298  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  4288  GS1  53.1580330  -27.769213  1.446
78745  GOODS-S  53.1635986  -27.793532  -99.  1.32  -99.  -99.  1.28  -99.  -99.  1.28  1.37  -99.  -99.  -99.  -99.  1.81  -99.  -99.  2.91e+09  -99.  -99.  4366  -99  -99  8.81  0.398  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.5186  1.507e+09  0.  -0.0444  1.1275  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2621  GS1  53.1635920  -27.793531  0.720
108928  GOODS-N  189.409282  62.307928  -99.  0.93  -99.  -99.  0.82  -99.  -99.  0.75  1.01  -99.  -99.  -99.  -99.  0.07  -99.  -99.  5.59e+08  -99.  -99.  4241  -99  -99  8.71  0.251  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.5704  3.187e+08  0.  -0.0495  1.0977  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  828  GN2  189.4092730  62.307927  0.709
119831  GOODS-N  189.3806375  62.3278  0.336  0.39  -99.  -99.  0.32  -99.  -99.  0.35  0.44  -99.  -99.  -99.  -99.  1.98  -99.  -99.  5.09e+08  -99.  -99.  4246  -99  -99  8.96  0.251  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.5966  3.038e+08  0.  0.353  1.2957  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  437  GN2  189.3806300  62.327799  1.198
83078  GOODS-S  53.167002  -27.784688  -99.  1.52  -99.  -99.  1.51  -99.  -99.  1.38  1.69  -99.  -99.  -99.  -99.  1.09  -99.  -99.  7.79e+09  -99.  -99.  6829  -99  -99  8.96  0.398  0.37  -99.  -99.  -99.  -99.  -99.  -99.  0.5585  4.35e+09  0.  0.1919  1.2648  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2009  GS1  53.1669800  -27.784705  1.015
100435  GOODS-N  189.3478467  62.29361  -99.  2.23  -99.  -99.  1.92  -99.  -99.  0.71  2.62  -99.  -99.  -99.  -99.  1.15  -99.  -99.  5.65e+08  -99.  -99.  20547  -99  -99  7.14  0.01  1.47  -99.  -99.  -99.  -99.  -99.  -99.  0.668  3.771e+08  0.  -0.3699  1.5149  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  4636  GN2  189.3478710  62.293646  0.443
119616  GOODS-N  189.3631438  62.327969  -99.  0.91  -99.  -99.  0.95  -99.  -99.  0.84  0.97  -99.  -99.  -99.  -99.  4.43  -99.  -99.  9.37e+09  -99.  -99.  2427  -99  -99  9.7  2.51  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.438  4.103e+09  0.  0.4045  1.6812  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  430  GN2  189.3631450  62.328004  1.316
95752  GOODS-S  53.177677  -27.76399  -99.  1.11  -99.  -99.  nan  -99.  -99.  1.11  1.11  -99.  -99.  -99.  -99.  2391.  -99.  -99.  4.72e+10  -99.  -99.  435  -99  -99  9.06  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.5354  2.526e+10  0.  0.3401  0.9801  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  863  GS1  53.1776960  -27.763984  1.225
84139  GOODS-S  53.1460845  -27.782974  -99.  1.39  -99.  -99.  1.2  -99.  -99.  1.31  1.51  -99.  -99.  -99.  -99.  2.3  -99.  -99.  1.13e+09  -99.  -99.  3865  -99  -99  8.36  0.063  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.6705  7.568e+08  0.  -0.1364  1.0262  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1883  GS1  53.1460920  -27.782976  0.603
88256  GOODS-N  189.1487522  62.270949  2.98  1.01  -99.  -99.  0.44  -99.  -99.  0.96  1.06  -99.  -99.  -99.  -99.  4.64  -99.  -99.  2.02e+12  -99.  -99.  22878  -99  -99  7.02  63.1  1.47  -99.  -99.  -99.  -99.  -99.  -99.  0.0001  3.12e+08  0.  -0.4014  1.2229  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2711  GN1  189.1487490  62.270935  0.362
