# PearsID field ra dec U_flux f435w_flux f606w_flux f775w_flux f850lp_flux f125w_flux f140w_flux f160w_flux irac1_flux irac2_flux irac3_flux irac4_flux U_flux_err f435w_flux_err f606w_flux_err f775w_flux_err f850lp_flux_err f125w_flux_err f140w_flux_err f160w_flux_err irac1_flux_err irac2_flux_err irac3_flux_err irac4_flux_err
81429 GOODS-N 189.120966 62.258716 7.134e-19 4.350e-19 2.555e-19 3.164e-19 3.172e-19 2.271e-19 2.032e-19 1.624e-19 3.649e-20 1.590e-20 1.263e-21 1.587e-21 4.663e-20 2.633e-20 1.039e-20 9.694e-21 8.938e-21 3.139e-21 7.307e-21 4.551e-21 1.929e-21 1.120e-21 5.318e-21 2.690e-21
70504 GOODS-N 189.120970 62.239311 1.960e-19 1.378e-19 2.181e-19 1.626e-19 1.313e-19 7.483e-20 -9.900e+01 4.375e-20 7.593e-21 4.856e-21 3.010e-20 -9.900e+01 4.992e-20 2.553e-20 1.031e-20 1.004e-20 9.359e-21 3.447e-21 -9.900e+01 6.206e-21 2.717e-21 1.407e-21 1.042e-20 5.596e-21
56422 GOODS-N 189.121061 62.214426 1.768e-19 1.838e-19 1.236e-19 9.213e-20 7.409e-20 7.060e-20 7.378e-20 6.508e-20 2.284e-20 1.415e-20 6.769e-21 4.783e-21 4.294e-20 1.364e-20 6.318e-21 5.726e-21 5.083e-21 2.115e-21 3.718e-21 3.172e-21 2.327e-21 1.254e-21 6.160e-17 1.660e-20
52709 GOODS-N 189.121119 62.207551 6.423e-20 3.841e-20 5.952e-20 7.487e-20 7.172e-20 5.380e-20 4.349e-20 3.596e-20 6.549e-21 9.111e-22 -9.900e+01 5.111e-22 4.722e-20 1.344e-20 6.335e-21 5.761e-21 5.232e-21 2.476e-21 3.870e-21 3.088e-21 3.358e-21 1.620e-21 5.229e-21 2.031e-20
44172 GOODS-N 189.121362 62.198107 2.385e-18 1.451e-18 1.321e-18 1.240e-18 1.012e-18 6.593e-19 5.378e-19 4.954e-19 6.521e-20 3.105e-20 6.139e-21 1.415e-21 6.475e-20 4.487e-20 2.135e-20 1.924e-20 1.716e-20 1.050e-20 1.210e-20 1.438e-20 1.992e-21 1.367e-21 3.322e-21 2.962e-19
80690 GOODS-N 189.121500 62.258045 3.220e-19 2.607e-19 1.347e-19 7.837e-20 9.018e-20 7.408e-20 6.189e-20 7.142e-20 1.219e-20 6.150e-21 -9.900e+01 -9.900e+01 4.118e-20 1.832e-20 7.176e-21 6.760e-21 6.255e-21 2.200e-21 5.010e-21 3.130e-21 2.233e-21 1.210e-21 5.731e-21 2.886e-21
73677 GOODS-N 189.121531 62.244582 2.166e-19 1.655e-19 1.230e-19 1.591e-19 1.427e-19 9.384e-20 6.746e-20 6.274e-20 9.691e-21 4.993e-21 -9.900e+01 -9.900e+01 4.666e-20 1.558e-20 6.313e-21 6.135e-21 5.655e-21 2.129e-21 4.141e-21 3.060e-21 2.681e-21 1.124e-21 6.222e-21 3.248e-21
87057 GOODS-N 189.121599 62.268609 7.838e-20 7.264e-20 6.847e-20 1.468e-19 1.420e-19 1.247e-19 1.078e-19 9.929e-20 2.810e-20 9.585e-21 -9.900e+01 -9.900e+01 5.203e-20 1.992e-20 7.945e-21 7.360e-21 6.938e-21 2.486e-21 5.241e-21 4.592e-21 2.484e-21 1.310e-21 5.490e-21 2.768e-21
45202 GOODS-N 189.121915 62.194556 1.226e-19 8.803e-20 1.031e-19 1.077e-19 8.537e-20 5.920e-20 5.301e-20 3.867e-20 5.678e-21 1.811e-21 -9.900e+01 2.821e-21 6.058e-20 2.042e-20 1.020e-20 8.981e-21 7.820e-21 6.267e-21 5.623e-21 8.231e-21 1.627e-21 1.140e-21 3.000e-21 1.653e-21
87061 GOODS-N 189.121932 62.271995 1.798e-19 2.582e-19 8.084e-19 1.942e-18 2.757e-18 2.916e-18 2.784e-18 2.692e-18 8.841e-19 3.626e-19 1.737e-19 5.323e-20 4.980e-20 1.990e-20 8.197e-21 7.462e-21 7.024e-21 2.463e-21 5.383e-21 1.219e-20 2.611e-21 1.292e-21 5.285e-21 2.530e-21
80089 GOODS-N 189.121986 62.256471 3.560e-19 3.416e-19 2.021e-19 1.056e-19 7.973e-20 5.372e-20 5.145e-20 4.448e-20 5.147e-21 2.868e-21 2.268e-21 2.500e-22 4.282e-20 1.884e-20 7.420e-21 6.912e-21 6.415e-21 2.265e-21 5.022e-21 3.604e-21 2.387e-21 1.136e-21 5.490e-21 2.752e-21
86216 GOODS-N 189.122031 62.270486 2.215e-18 1.721e-18 2.559e-18 5.446e-18 6.110e-18 5.188e-18 4.672e-18 4.204e-18 1.217e-18 5.125e-19 2.833e-19 1.055e-19 5.371e-20 2.226e-20 9.224e-21 8.417e-21 7.883e-21 2.744e-21 5.976e-21 9.976e-21 2.604e-21 1.299e-21 5.303e-21 2.628e-21
86021 GOODS-N 189.122065 62.266461 1.624e-19 1.518e-19 8.713e-20 8.776e-20 8.286e-20 4.954e-20 4.332e-20 3.313e-20 4.905e-21 2.736e-21 -9.900e+01 -9.900e+01 4.403e-20 1.886e-20 6.015e-21 5.528e-21 5.087e-21 1.844e-21 3.949e-21 2.727e-21 1.427e-21 8.150e-22 3.828e-21 2.029e-21
76318 GOODS-N 189.122106 62.249178 1.598e-19 1.499e-19 9.908e-20 8.450e-20 9.754e-20 4.308e-20 3.077e-20 2.692e-20 3.609e-21 2.219e-21 -9.900e+01 -9.900e+01 3.817e-20 1.395e-20 5.663e-21 5.214e-21 4.736e-21 1.813e-21 4.207e-21 2.444e-21 2.004e-21 8.712e-22 4.528e-21 2.181e-21
57364 GOODS-N 189.122146 62.216490 5.430e-19 3.992e-19 2.391e-19 1.411e-19 1.104e-19 9.787e-20 9.027e-20 7.979e-20 1.895e-20 1.101e-20 -9.900e+01 -9.900e+01 4.705e-20 2.375e-20 1.090e-20 9.804e-21 8.856e-21 3.619e-21 6.540e-21 6.539e-21 1.548e-21 9.456e-22 1.732e-17 1.734e-20
89260 GOODS-N 189.122322 62.272813 4.633e-20 2.192e-19 2.109e-19 2.244e-19 1.545e-19 1.044e-19 8.161e-20 7.377e-20 2.271e-20 8.546e-21 2.333e-21 2.222e-22 6.488e-20 2.744e-20 1.141e-20 1.033e-20 9.680e-21 3.415e-21 7.400e-21 6.018e-21 3.031e-21 1.553e-21 6.415e-21 3.032e-21
